[18:54:05] SYS Logging local activado
[18:54:06] RX  69.14;32.655255;-115.407228;99;300;0;0;1;1;1;263195;-40;-0.25
[18:54:07] RX  69.13;32.655255;-115.407228;99;300;0;0;1;1;1;264192;-41;0.25
[18:54:08] RX  69.14;32.655255;-115.407228;99;300;0;0;1;1;1;265192;-38;0.75
[18:54:09] RX  69.10;32.655255;-115.407228;99;300;0;0;1;1;1;266192;-40;0.50
[18:54:10] RX  69.12;32.655255;-115.407228;99;300;0;0;1;1;1;267192;-39;0.25
[18:54:11] RX  69.11;32.655255;-115.407228;99;300;0;0;1;1;1;268189;-40;0.50
[18:54:12] RX  69.11;32.655255;-115.407228;99;300;0;0;1;1;1;269195;-43;-0.50
[18:54:13] RX  69.08;32.655255;-115.407228;99;300;0;0;1;1;1;270192;-42;-0.50
[18:54:14] RX  69.09;32.655255;-115.407228;99;300;0;0;1;1;1;271192;-40;-0.50
[18:54:15] RX  69.07;32.655255;-115.407228;99;300;0;0;1;1;1;272192;-43;9.75
[18:54:16] RX  69.08;32.655255;-115.407228;99;300;0;0;1;1;1;273192;-42;1.00
[18:54:17] RX  69.08;32.655255;-115.407228;99;300;0;0;1;1;1;274189;-44;10.00
[18:54:18] RX  69.08;32.655255;-115.407228;99;300;0;0;1;1;1;275195;-45;10.25
[18:54:19] RX  69.07;32.655255;-115.407228;99;300;0;0;1;1;1;276192;-44;9.50
[18:54:20] RX  69.07;32.655255;-115.407228;99;300;0;0;1;1;1;277192;-45;10.00
